 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
664. ;oignon (emprunt français);;áɲwàn / bə̀áɲwàn;ányɔ̀nè / bánányɔ̀nè;zòɲò / ìzòɲò ;ǎɲɔ̀z / bǎɲɔ̀z ;áɲɔ̀n / bàáɲɔ̀n ;áɲòs / wáɲòs ; ; ;aɲɔn ;ɲàdò / bə̀ɲàdò; ; ; ;;;;
665. ;oiseau ;°nÒnÍ ;ì-nwònə́ / bìnwònə́;nɔ̀ɔ̀nɛ́ / benɔ̀ɔ̀nɛ́;nǐn / ìnǐn ;nùn / bènùn ;nʊ̌n / bìnʊ̌n;nùnú / ìnùnú;nɔ̀nī;nuɛn / binuɛn ;nʊ̌n;nwə̀ní / bìnwə̀ní;*nʊ̀nɩ́; ; ;;;;
666. ;oiseau sp ;°ɟànɟ ;;nkâŋɡà / bankâŋɡà;nájàz / bɛ̀nájàz ; ;ɟàh / bìɟàh ;ɟàànz / ìɟàànz ; ; ; ; ; ; ; ;;;;
667. ;ombre ;°pjô(ŋ) ;ì-pyə́ə̀lə̀ / bìpyə́ə̀lə̀;;pjôw / ìpjóò; ;pjóò ; ; ; ;pjóò ; ; ; ; ;gyeli : ombre d'une personne;;;
668. ;oncle ;°kòKÍ ;;kó / bakó;kók / bɛ̀kók ;kúúɡ / bòkúúɡ ;kʊ́ʔ / òkʊ́ʔ ; ;kōɡī ;kwəˤ / bɔkwəˤ ; ; ; ; ; ;;;;
669. ;ongle ;°ɲâ ;ì-ɲà / bìɲà;nyâ / benyâ;ɲâ / mìɲâ ;ɲâ / bèɲâ ;ɲâ / bìɲâ ;ɲâ / ìɲâ ;ɲâ ;ɲa / biɲa ; ;ɲá / bìɲá;*jádà ;*nyádá  ; ;;;;
670. ;or (emprunt);°ɡolO ;ɡúlùr̥ / bə̀ɡúlùr̥;gɔ́lɛ̀ / begɔ́lɛ̀;mɔ̂nɡòlɔ̀ ;ɡólòd ;ɡʊ̂l / bìɡʊ̂l ; ; ;ɡol / miɛn ;ɡôl ; ; ; ; ;;;;
671. ;oranɡe ;°pùmV́ ;ì-fə̀mbè / bìfə̀mbè;fùmbí / befùmbí; ;fùmbí / bèfùmbí ;fìmɩ́ / bìfìmɩ́ ; ; ;puma / bipuma ; ; ; ; ; ;;;;
672. ;oreille ;°lÓÒ ;lwò / màlwò;le-lɔ̂ / malɔ̂;ɛ̀-lɔ̂ / mɛ̀lɔ̂ ;lwɔ̂ / mòlwɔ̂ ; ;lwə̂ / mə̀lwə̂;à-lɔ̂ ;lwɔ / malwɔ ; ;lúò / bìlúò ; ;*tʊ́ì (AL) ; ;;;;
673. ;oreiller ;°bɔ́ŋla ;ì-búŋɡà / bìbúŋɡà;;bóɡlà / ìbóɡlà ; ;è-bwóóló / mèbwóóló ; ;à-ɓɔ̄ɔ̄ŋlɔ̄; ;lè-bwóóló ; ; ; ; ;;;;
674. ;orphelin ;°ɲùlÍ ;mwáà-ɲòló / bwábə́ɲòló;nyúlɛ́ / minyúlɛ́;m-ɔ́ɔ̀ɲìl / bɔ́ɔ̀ɲìl ;(mwâ) ɲùl / bwâ bə́ɲùl ;nǔl / bìnǔl ; ;ɲùlī ;(mua) ɲul / bwaŋ bɔ ɲul ;ɲǔl ; ; ; ; ;;;;
675. ;orteil ;°ɟìnà ;m̀-bvyìnə́ (mə̀kū);;ɟìn (ɛ́kò) / b̥ìn (mɛ́kò);jìn (ɔ́kù) ; ; ; ;zina (ɲku) / bizina maku ; ; ; ; ; ;;;;
676. ;oryctérope ;°jímbà ;;;bjàb / ìbjàb ;jímɔ̀ ; ; ; ; ;bwàm ; ; ; ; ;;;;
677. ;os ;°(ɡ-)wèsÁ?  ;ì-zìyɛ̄ɛ̄ / bìzìyɛ̄ɛ̄;;ɡɥěs / ìɡɥěs ;jɛ̀z / bèjɛ̀z ;ɟwèhé / bìɟwèhé ;jàsə́ / ìjàsə́;wìɔ̄ ;ziɛ / biziɛ ;ɟwèhé ;jə̀ / bìjə̀; ;*pɩ̀cɩ́ (ABCH); ;;;;
678. ;où ? ;°ɟV ;ówô;(ɛ́) vɛ́; ;jé ;wó ;wàw ;wjē ;jɛ ; ; ; ;*í (AJKLRS ) ; ;;;;
679. ;oublier 1 ;°ɟÌsà ;zèyà;;ɛ̀-g̥jìsà ; ;è-ɟɩ̀hà; ;à-ɟìà ; ;lè-ɟìhà ; ; ; ; ;;;;
680. ;oublier 2 ;°ɡùsà ;;wùsa; ;wàzà ; ;wùsà ; ;wusa ; ;wùɟà ; ; ; ;;;;
681. ;oui ;°ÈÈ ;èèéé;èhè;ɛ̀ɛ̀ ;ə̀ə́;èèè ;hâw ; ; ;èèè ; ; ; ; ;;;;
682. ;ouvrir 1 ;°dìbÙ ;dvì;jì;ɛ̀-dùù ;dìb ;è-dìb ;ɟùw ;à-dìbì ;dzii ;lè-dìb ; ;(*dìb) ; ; ;;;;
683. ;ouvrir 2 ;°búmì ;;; ; ;è-bîm ; ;à-būmì ; ;lè-bwîm ; ; ; ; ;;;;
684. ;pagaie ;°(N)ɡápV;ì-ŋɡábə̀ / bì-ŋɡábə̀;nkábɛ́ / mankábɛ́;g̥ɛ́p / mɛ̀g̥ɛ́p ;nkɔ̀ɔ̀b / mònkɔ̀ɔ̀b ;nkɔ́b / bìnkɔ́b;nkóófú / mə̀nkóófú; ;nɡáb / manɡáb ;nkɔ́b; ;*kápí ; ; ;;;;
685. ;pagne ;°sàndà ;sándè / bə̀sándè;sàndyà / basàndyà;sàdà / ìsàdà ; ;sànà / òsànà ; ; ;sanda / bɔsanda ; ; ; ;*canda (AGJ) ; ;;;;
686. ;paille ;°só ;;; ; ;sʊ́ ;ʃúú / mə̀ʃúú; ; ;sʊ́ ; ; ; ; ;;;;
687. ;palmier à huile ;°lɛ́ndÍ ;;le-lɛ́ndɛ́ / malɛ́ndɛ́; ; ;è-lén / mèlén ;lə́ndú / mə̀lə́ndú; ;lɛndi / malɛndi ;lè-lén ; ; ;*téndé (AGH) ; ;;;;
688. ;pangolin ;°(N-)ɟàlV́;zə̀làʔ / bə̀zə̀làʔ;ndzààlɛ́ / bandzààlɛ́;zɛ̀l / bɛ̀zɛ̀l ;ncɔ̀ɔ̀l / bə̀ncɔ̀ɔ̀l ;nzjɛ̌l / ònzjɛ̌l;zòòlú / ìzòòlú ; ;nzal / bɔnzal ;nsɛ̌l; ; ; ; ;gyeli : Manis tricuspis;;;
689. ;pangolin géant ;°(ɡ)wímà ;ì-zə́mà / bìzə́mà;vímù / bevímù;ɡɥîm / ìɡɥîm ; ;ɟwímè / bìɟwímè ; ; ; ;ɟwímô ; ; ;*pímá (A) ;°-pímbá ;;;;
690. ;panier sp 1 ;°kɔ́m;;;kɔ́m / mɛ̀kɔ́m; ;kwám / mèkwám ; ; ; ;kwɔ́m; ; ; ; ;;;;
691. ;panier sp 2 ;°kúTÁ ;kfùɾə̀ / màkfùɾə̀ ~ ìkàɾī / bìkàɾī;n-kwɛ̂ / minkwɛ̂;ɛ̀-kúú ;kúrə́ ;è-kúró / mèkúró ; ;à-kūrɔ̄ ; ;lè-kúró ; ; ; ; ;;;;
692. ;panier sp 3 ;°(N-)bjáV̀ ;;;b̥jâj / ìb̥jâj ; ;mpjáà / òmpjáà ; ; ; ;mpwáà ; ; ; ; ;;;;
693. ;panier sp 4 ;°ból(à) ;;;ɛ̀-bwàl / mɛ̀bwàl ; ;bá / bìbá ;báàl / ìbáàl ; ; ; ; ; ; ; ;;;;
694. ;panthère ;°(N-)ɡɔ̀jÌ ;ŋ̀-ɡwéèy / bə̀ŋɡwéèy;;g̥òj / bɛ̀g̥òj;nkwèɲ / bònkwèɲ ;nkœ̀œ̀ / ònkœ̀œ̀ ;nkwèɲ / ònkwèɲ ;nkɔ̀ɛ̀; ;nkœ̀œ̀ ;ǹ-ʃjə́ / bə̀nʃjə́;*ɡòì ; ; ;;;;
695. ;papaye ;°pÒpÓ ? Emprunt?  ;ì-pòpwō / bìpòpwō;pɔ̀pɔ́ / bepɔ̀pɔ́; ;pùpwɔ́ ;pòpó / bìpòpó ;fwòfwó / ìfwòfwó ; ;pɔpɔ / bipɔpɔ ; ;pàpàj  ; ; ; ;;;;
696. ;paquet 1 ;°dómbá ;d-úmbə̀ / múmbə̀;dúmbɔ́ / bedúmbɔ́;d-wób / mwób ; ;d-ómó / mómó ;ɟ-wámbə́ / mwámbə́;ɗ-ōmbɔ̄ ; ; ; ; ; ; ;;;;
697. ;paquet 2 ;°bɔ̀mbV̀ ;;; ;mbùmb / mèmbùmb ;m-bòm / mìmbòm ; ;m-bɔ̀mbì;m-bʰwambɔ / mimbʰwambɔ ;m-bòm ; ; ;*bòmbò (ACJL); ;;;;
698. ;parasolier ;°síà ;;;ɛ̀-ʃjéè / mɛ̀ʃjéè ; ;è-sɩ́à / mèsɩ́à;ʃjɛ̂ / mèʃjɛ̂; ; ;lè-síà ; ; ; ; ;gyeli : suggère une nasale sous-jacente;;;
699. ;parce que ;°bÉ ;;; ;nə̀bə́ ;è-bě ; ; ; ;nè-bě ; ; ; ; ;gyeli : emprunt français ? > 'pour';;;
700. ;parent ;°bíàlV̀ ;m̀-byáàɾò / bə̀byáàɾò;bwàlɛ̀ / babwàlɛ̀; ; ;m-bjɛ̂l / òbjɛ̂l;m-bjôl / mìmbjôl ;m-ɓjālì ;m-bial / bɔbial ;m-bwɛ̂l; ;(*bíad) ; ; ;;;;
701. ;parenté ;°biálá ;m̀-byálò / mìmbyálò;m-bàwlɛ̀ / babàwlɛ̀;m-bjélá / mìmbjélá ;mbjêl ;bjɛ́lá / bìbjɛ́lá ;m-bjɛ̂l / mìmbjɛ̂l; ;m-bial / bɔbial ; ; ;(*bíad) ; ; ;gyeli : 'parent';;;
702. ;paresseux ;°(N-)dùì ;;; ;ntwì / bòntwì ;ntwìì / bìntwìì ; ;ntùì ; ;ntwìì ; ; ; ; ;;;;
703. ;parler 1 ;°làb ;làbè;láà; ;làb ;è-làb ; ; ;lab ; ;lò ; ; ; ;gyeli : 'raconter';;;
704. ;parler 2 ;°lìb ;lwíì;;ɛ̀-lìì  ; ;è-lwìb ; ; ; ;lè-lwìb ; ; ; ; ;;;;
705. ;partager ;°kàb(à) ;kùà;kàbɔ;ɛ̀-kàw ;kàb ;è-kàb ;kààw ;à-kàà ; ;lè-kàb ;kàbálà  ;*ɡàb ; ; ;;;;
706. ;partie du bras ;°(N-)ɟámbV̀ ;;ndzámbɔ̀ / mandzámbɔ̀;zâb / mɛ̀zâb ; ;nzâm / mènzâm ; ; ;nzambɔ / manzambɔ ; ; ; ; ; ;gyeli : partie supérieur du bras;;;
707. ;partir ;°kânɡ ;kə̀;kɛ̀ ; ; ;è-nkɛ́ɛ̀ ; ;à-kwâŋ ; ; ;kâʔ ; ; ; ;;;;
708. ;patate douce ;°bùTà ;;; ;è-bùrà / mòbùra;è-bùrà / mèbùrà ;bùdɛ̀ / ə̀bùdɛ̀; ; ; ; ; ; ; ;;;;
709. ;paume ;°kɔ́nɟÌ ;kwɛ́ŋɟè;le-kɔ́ndyì / makɔ́ndyì;ɛ̀-kôz / mɛ̀kôz ;è-kúnɟ / mòkúnɟ ;è-kœ̂h / mèkœ̂h ; ; ;kwɛndi / makwɛndi ;lè-kœ̂h ; ; ; ; ;;;;
710. ;payer ;°ɟɛ́nà ;ɡínà;púɔ̰̀; ;ɟánà ;è-ɟɛ́nà ;ɟə́nà;à-ɟɛ́ná;ɟana ;lè-ɟánâ ; ; ; ; ;;;;
711. ;peau 1 ;°kòndÁ ;;;kwǒd / mìkwǒd ; ;kònó / bìkònó ; ;kòndɔ̄ ;kundɛ / bikundɛ ;kwǒn ;kùndə́ / bìkùndə́ ; ; ; ;;;;
712. ;peau 2 ;°kóTÌ ;ì-kúù / bìkúù;kúdɛ́ / bekúdɛ́;kót / ìkót ;kúúr / bèkúúr ;kʊ́r / bìkʊ́r ; ;kōrī ;kur / bikur ;kʊ́r ; ;*kʊ́tò ; ; ;;;;
713. ;peigne ;°ɡwàPà ;;; ;è-wèb / mòwèb;ɡbɛ̀bà / bìɡbɛ̀bà ; ;wàbà ; ; ; ; ; ; ;;;;
714. ;peigner ;°ɡwàPì ;;; ;wèb ;è-ɡbɛ̀b; ;à-wàbì ; ; ; ; ; ; ;swo : emprunt;;;
715. ;peine ;°túŋ ;;;túŋ / mìtúŋ ; ;túú / mìtúú ;cúŋ / mìcúŋ ;tūūŋ ; ;túú ; ; ; ; ;gyeli : 'sadness';;;
716. ;penser ;°símsà ;;;ɛ̀-ʃímsà ;símə̀zə̀ ;è-símsà ; ; ; ;lè-sísìmsà ;símàɡà ; ; ; ;;;;
717. ;percer 1 ;°túbà ;tfwóò;tfùbo;ɛ̀-túù ;túbɔ̀lə̀ (lwɔ̂) ;è-túbò ;cúwàl ; ; ;lè-túbô ;tsúà ;*túub (ABCDKS); ; ;;;;
718. ;percer 2 ;°lúmà ;;; ; ;è-lúmò ; ;à-lūmɔ̀ ; ;lè-lúmô ; ; ;*túm (ADEGS) ; ;;;;
719. ;perdre ;°dímbàlà ;dzə́mbə̀;jímbɛlɛ; ;dímbə̀lɔ̀ ;è-dîm ;ɟímbàl ;à-dímbɔ́lɔ̀;dzimlɛ ;lè-dímlô ; ; ;*dímb (ABCJL) ; ;;;;
720. ;perdrix 1 ;°kwàlV̀ ;;kwàlɛ̀ / bekwàlɛ̀; ;cɔ̀ɔ̀l / bòcɔ̀ɔ̀l ; ;còòlú / ìcòòlú ;kwàlī ;cɥal / bicɥal ; ; ;*kʊ̀àdɩ́ ; ; ;;;;
721. ;perdrix 2 ;°kwàKá ;;;g̥bǎ / ìg̥bǎ; ;kpǎʔ / bìkpǎʔ ; ; ; ;kwàʔá ; ;*kʊ̀àdɩ́ ; ; ;;;;
722. ;père ;°sánɡV̀ ;sáŋɡò / bə̀sáŋɡò;sá̰ / basá̰;sɛ́ɡ / bɛ̀sɛ́ɡ ;sɔ́nɡə̀ / bòsɔ̂nɡə̀ ;sɔ́ŋ / òsɔ́ŋ;sónɡû / òsónɡû ;sānɡɔ̀ ;sɔŋ / bɔsɔŋ ;sɔ́ŋ;ʃô  / bə̀ʃô; ;*cánɡʊ́ (AC); ;;;;
723. ;perroquet ;°kòsÈ ;kùù / bə̀kùù;kùsì / bakùsì;g̥óswà / ìg̥óswà;kùùz / bòkùùz ;kø̀h / òkø̀h; ;kòè ;kwii / bɔkwii ;kwɩ̂h; ;*kʊ̀cʊ̀ ; ; ;;;;
724. ;personne ;°(ò)TV̀ ;m-òɾò / bòɾò;m-ùdì / bùdì;m-ôt / bôt ;m-ùd / bwùd ;m-ʊ̀r / bʊ̀r ; ;m-òrì ;m-ur / bur ;m-ʊ̀r ;m-ùrù   ;*ntʊ̀ ; ; ;;;;
725. ;personne renommée ;°ɟóK(Ì) ;;;n-ɡɥék / mìnɡɥék ;ɟwíìɡ ;n-ɟø̂ʔ / mìnɟø̂ʔ; ; ; ;lè-ɟwɩ́ʔrâ; ; ; ; ;;;;
726. ;petit 1 ;°tɔ́Kà ;twáʔ;tsílì / betsílì;ɛ̀-twâl ; ;twáʔwó ; ;tɔ̀ɡāā ;twaɡu ; ;tútwáʔ ; ; ; ;gyeli : 'petitesse';;;
727. ;petit 2 ;°Ô ;m-wáà / bwá;;m-ɔ́ɔ̀tá / bɔ̀ɔ́tà ;m-wá / bwá ;m-â / bwâ ; ; ;m-wa (twaŋ);m-â ; ; ; ; ;;;;
728. ;petit-fils, petite-fille ;°(N-)dà ;ǹ-dà / bə̀ndà;ntà / bantà;móód̥à / bòòbɛ́d̥à;ntà / bòntà ;ntà / òntà ;ntà / òntà ; ;ndʰa / bɔndʰa ; ;ǹ-tà / bə̀ntà; ;*dàdà (AC) ; ;;;;
729. ;peu (un peu) ;°bà ;;;bààndà ;bà ;bá ; ; ; ;bà ; ; ; ; ;;;;
730. ;peur ;°bÓ(ŋ)à ;;;bwɔ́ɔ́ ; ;bʊ́á; ; ; ;bʊ́á; ; ; ; ;gyeli : 'avoir peur';;;
731. ;picorer ;°tòT(Ì) ;twámbə̀lə̀;twálɔ; ; ;è-tòr ; ;à-tōè ; ;lè-tœ̀r ; ;*táʊd ; ; ;gyeli : recip = twálala;;;
732. ;pied ;°kǒ ;ŋ̀-kū / màkū;n-kû / minkû;kǒ / mɛ̀kǒ ;kù / mòkù ;kʊ̌ / mèkʊ̌ ; ;kǒ ;n-ku / maku ;kʊ̌ ;kù / mə̀kù;*ɡʊ̀dʊ̀ ; ; ;;;;
733. ;piège ;°lámbà ;lámbà / màlámbà;le-lámbɔ̀ / malámbɔ̀;lâb / ìlâb ;è-lâmb / mòlâmb ;lâm / bìlâm ;lààmb / mə̀lààmb;lāmbɔ̀ ;lambɔ / malambɔ ; ; ;*támbò ; ; ;;;;
734. ;pierre ;°kɔ̀KÌ ;kwɔ́ʔə̀ / màkwɔ́ʔə̀;le-kɔ́ / makɔ́;ɛ̀-kók / mɛ̀kók ; ;è-kóʔ / mèkóʔ ; ;à-kɔ̄ɡì ;kwəˤ / makwəˤ ;lè-kóʔó ;kwúʔ / mə̀kwúʔ; ; ; ;;;;
735. ;piétiner 1 ;°ɲàlà ;ɲàlə̀;;ɛ̀-ɲàl ; ;è-ɲàl ;ɲàl ;à-ɲàlɔ̀ ; ; ; ; ; ; ;;;;
736. ;piétiner 2 ;°tíPà ;;tsíbɔ; ;tíbɔ̀ ;è-tíbè ; ; ; ;lè-tíbô ; ; ; ; ;;;;
737. ;pigeon ;°pèPà ;;; ;lè-fàb / mòfàb ; ; ;à-pèbɔ̀ ;piba / mapiba ;lè-pàbàà ; ; ; ; ;;;;
738. ;piler ;°dùmà ;;;ɛ̀-dùm ;dùmɔ̀ ;è-dùmò ; ; ; ; ; ; ; ; ;;;;
739. ;pilon ;°(N-)dùmbÌ ;;;d̥ùmùt / ìd̥ùmùt ; ; ;n-ɟùmjà / mìnɟùmjà ;n-tùmìlì ;m-pfumbi / mimpfumbi ;n-túm ; ; ; ; ;;;;
740. ;pintade ;°kâŋ ;ŋ̀-kâŋ / mìŋkâŋ;n-kâ̰ / minkâ̰;káà / mìkáà ;kâŋ / mèkâŋ ; ; ;kâŋ ; ; ;ǹ-kàʔ / bə̀nkàʔ;*kánɡà ; ; ;;;;
741. ;pipe ;°tɔ̌ŋ;;;tǒŋ / ìtǒŋ ; ;tòó / mìtòó ; ;tɔ̀ɔ̄ŋ; ; ; ; ; ; ;;;;
742. ;pipe sp ;°bùKV̀ ;bvùɡù / bə̀bvùɡù;;à-bùkɔ̀ / màbùkɔ̀ ;bùɡ / mə̀bùɡ ;àbùʔ / bààbùʔ ;bùɡ / ìbùɡ ;à-ɓòɡì ; ; ; ;*bʊnɡʊ ; ; ;;;;
743. ;pirogue ;°(j)álÒ ;ì-byálè / bìbyálè;bw-álɛ̀ / málɛ̀;bj-ɛ̂l / mɛ̂l ;bj-ɔ̂l / mɔ̂l ;bj-ɛ̂l / mɛ̂l;bj-ôl / môl ; ;bi-al / mal ;b-wɛ̂l;bjálì / bìbjálì ;*játò ; ; ;;;;
744. ;piste d'animaux ;°páKV̀ ;;;ɛ̀-pɔ̂k / mɛ̀pɔ̂k; ;è-pɔ̂ʔ / mèpɔ̂ʔ; ;à-pāɡì ; ; ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
745. ;pitié ;°(N-)ɡɔ̌ŋ ;ŋ̀-ɡwɔ̌ŋ;ngɔ̀ngɔ̀lɛ̀ (G7);g̥ǒŋ ;nkwɔ̀ŋ;nkòó ; ;nkɔ̀ɔ̄ŋ;nɡwɔŋ ;nkòó ; ; ; ; ;;;;
746. ;plaie, blessure ;°péŋ(Ó) ;píɔ̀ŋ / màpíɔ̀ŋ ~ pīŋ / màpīŋ;pḛ́ / mapḛ́;pjóŋ / mɛ̀pjóŋ ;fɔ́ŋ ;pɩ́ɩ́ / mèpɩ́ɩ́ ;fúŋ / mə̀fúŋ;pēēŋ ;piuŋ / mapiuŋ ;pɩ́ɩ́;pjó / mìpjó; ; ; ;;;;
747. ;planche ;°bámÓ ;bámbə̂ / màbámbə̂;; ;è-bɔ́m / mòbɔ́m ;è-bɔ́m / mèbɔ́m;bómbú / mə̀bómbú;à-ɓāmī ; ;lè-bám ; ; ; ; ;;;;
748. ;plantation ;°pèmbà ;;;pjèb / ìpjèb ;fàmb / bèfàmb ;pèmé / bìpèmé ;fàmbə́ / ìfàmbə́;pèmbɔ̄ ; ;pjěm ; ; ; ; ;;;;
749. ;plante du pied ;°bɔ̀ ;bwɔ̀ ;le-bɔ́ / mabɔ́;ɛ̀-bɔ̀ / mɛ̀bɔ̀ ;è-bwà / mòbwà ;è-bò / mèbò ;bwò / mə̀bwò; ;bwɔ / mabwɔ ;lè-bò ; ; ; ; ;;;;
750. ;planter ;°zùmà ;;bɛ̀; ; ;è-sùmò ; ;à-sùmɔ̀ ; ; ;zímà ; ; ; ;;;;
751. ;plat ;°(N-)ɡà ;;;g̥à / mɛ̀g̥à ; ;nkà / mènkà ; ; ; ;nkà ; ; ; ; ;;;;
753. ;plein (être) ;°lóndV́ ;;;lúdlá / mìlúdlá ;lwéndə́lá ;è-lónò ; ;n-tōndì ;lundɛ ;lè-lwôn ; ; ;*tʊ́nd (ABCH) ; ;;;;
754. ;pleur ;°ɟɛ̀ ;;le-wê / mawê;ɛ̀-ɡɥɛ̂ / mɛ̀ɡɥɛ̂; ;è-ɟwê / mèɟwê ;jə̂ / mə̀jə̂;mɛ̀-ɟà;ju / maju ;lè-ɟwê ; ;*dɩ̀d; ; ;;;;
755. ;pleurer ;°ɟÌÌ ;ɡì;gìyɔ;ɛ̀-ɟìì  ;ɟìì ;è-ɟɩ̀ ;ɟìì ;à-ɟì ;ɡi ;lè-ɟɩ̀ ;ɡì ;*dɩ̀d; ; ;;;;
756. ;pleuvoir ;°nɔ́ŋÌ ;nwɔ́;;ɛ̀-nɔ̀ ; ;è-nǿø̀ ;ɲwô;à-nɔ̂ŋ; ;lè-nwɩ́ɩ̀; ;*nók ; ; ;;;;
757. ;pluie ;°(N)bV́À;mbvə̄ / bə̀mbvə̄;mbvúɔ̀ / mambvúɔ̀;b̥í / bɛ̀b̥í ;mpú / bòmpú ;mpíé / òmpíé ;mpú / òmpú ;mpīɔ̄ ;mvuɔ / bɔmvuɔ ;mpwíó ;m̀-pwə́ / bə̀mpwə́;*búdà ; ; ;;;;
758. ;plume ;°sǎnɡ ;;le-sâ / besâ;ɛ̀-sà (bônínìn) / mɛ̀sà bônínìn ;sà / mòsà ;è-sǎ / mèsǎ ;ʃàá / mə̀ʃàá;mɛ̀-sàŋ;sa / masa ;lè-sǎ ;ʃǎʔ / mə̀ʃǎʔ;*cádá ? ; ; ;;;;
759. ;poignarder ;°lúmà ;;;ɛ̀-lûm ;lúmɔ̀ ; ; ; ;m-pfuma ; ; ; ;*túm (ADEGS ) ; ;;;;
760. ;poil ;°mìɛ́ ;;;mjɛ̌ ;mjɛ̀ (méɲûl);mjě / bìmjě ; ; ;miɛ ; ;mjɛ́  ; ; ; ;;;;
761. ;poing;°kúTà ;;kfúzá / bekfúzá;kútà / ìkútà ;kúdà ;kúrà / bìkúrà ; ;kúrá ; ; ; ; ; ; ;;;;
762. ;poison ;°ɟòKV̀ ;ŋ̀-ɡwàʔ / mìŋɡwàʔ;;d̥ô / ìd̥ô;ɟwòɡ ;ɟwòʔò / bìɟwòʔò ;ɡwòɡ / ìɡwòɡ ;dò ; ;ɟɔ̀ʔ; ; ; ; ;;;;
763. ;poisson ;°sû ;ʃúù / bə̀ʃúù;fû / bafû;sû / bɛ̀sû ;ʃû / bòʃû ;sû / òsû ;ʃû / òʃû ; ;fu / bɔfu ;sû ;fə̂ / bə̀fə̂;*cúɩ́ ; ; ;;;;
764. ;poisson sp ;°(N-)bàK ;ì-mbàʔ / bìmbàʔ;;b̥à / bɛ̀b̥à; ;mpàʔ / òmpàʔ ;mpàɡ / òmpàɡ ; ; ; ; ; ; ; ;;;;
765. ;poitrine ;°bèTV ;;;bêt / b̥êt ;bèd / mòmpèd;bɩ̀r / mèmpɩ̀r;bə̀d / ìbə̀d; ;pfurəˤ / bipfurəˤ ;bɩ̀r; ;*béèdè ; ; ;;;;
766. ;polygamie ;°ɡwál ;;válɔ́ / beválɔ́;wál / ìwál ;wál / bòwál ;ɡbál / bìɡbál ;wál / ìwál ; ; ; ; ;*pádɩ̀ ; ; ;;;;
767. ;pondre ;°bíK(à) ;byâ;bwá (má kí) ;ɛ̀-bjâ (mɛ̀tjè); ; ;bwííɡ ; ;bia (ki); ; ; ; ; ;en gyeli : verbe 'accoucher' a un ton B normalement;;;
768. ;porc-épic ;°(N-)ɡòmbÁ ;ŋɡùmbə́ / bə̀ŋɡùmbə́;nkùmbɔ́ / bankùmbɔ́;g̥wǒb / bɛ̀g̥wǒb ;nkwɔ̀mb / bònkwɔ̀mb ;nkòmó / ònkòmó ;nkwàmbə́ / ònkwàmbə́;nkòmbɔ̄ ;nɡumbɔ / bɔnɡumbɔ ;nkwǒm ; ; ;*ɡʊ̀mbá (ABCH);°-ɡòmbá ;gyeli : autre terme mvɛ́bɛ́ / bemvɛ́bɛ́;;;
769. ;porte ;°bɛ̂ ;m̀-bə̀ / mìmbə̀;m-bɛ̂ / mimbɛ̂;ɛ̀-bɛ̂ / mɛ̀bɛ̂ ;bə̀ / mòbə̀ ;è-bê / mèbê ;m-bɛ̂ / mìmbɛ̂;m-bɛ̂ ;m-bɛ / mimbɛ ;lè-bê ;m̀-bə̂ / mə̀mbə̂; ;*bédò (AHKR); ;;;;
770. ;porter 1 ;°bɛ̀p(à) ;;bàwɛ;ɛ̀-bɛ̀p ; ;è-bɛ̀b; ; ;bab (nlu ri); ; ; ; ; ;;;;
771. ;porter 2 ;°kɛ̂nɡ ;;; ;nkênɡ ;è-nkɛ́ɛ̀ ;nkɛ̂ɲ;à-nkāɛ̄ ; ;lè-nkɛ́ɛ̀; ; ; ; ;;;;
772. ;potamogale ;°sùpÈp ;;;sûpjèp / ìsûpjèp ; ;sùpêb / mìsùpêb ; ; ; ;sùpœ̂b ; ; ; ; ;;;;
773. ;potier ;°mèl(ò) ;;; ; ;mèl / òmèl ;mòòl / òmòòl ; ; ;mèl ; ; ; ; ;;;;
774. ;pou ;°nìnV́ ;;;nǐn / ìnǐn ; ;nìné / bìnìné ;ɲìnə́ / ìɲìnə́; ;n-ina / bvina ; ;dz-ɪ̀nə́; ; ; ;;;;
775. ;poubelle, ordures ;°kùndV̀ ;kfə̀ndə̀ʔ / màkfə̀ndə̀ʔ;le-kfùndɛ̀ / makfùndɛ̀;ɛ̀-kɥìd / mɛ̀kɥìd ;è-kùn / mòkùn ;è-kùnù / mèkùnù ; ; ;n-kue (bika) / minkue bika ;lè-kùnʊ̀ʊ̀; ; ; ; ;;;;
776. ;poudre ;°pù(V́) ;;be-pfùyá;pù (ɛ́wâs); ;pǔ / mìpǔ ;fùú / mìfùú ;pǔ ; ;pǔ ; ; ; ; ;;;;
777. ;poule ;°kúbÒ ;kfə́ə̀ / bə̀kfə́ə̀;kfúbɔ̀ / bekfúbɔ̀;kúù / bɛ̀kúù ;kúbɔ̀ / bòkúbɔ̀ ;kúò / òkúò ; ;kūbɔ̀ ;pfuɔ / bɔpfuɔ ;kúbò ;kfúò / bə̀kfúò; ;*kúbà (ABC); ;;;;
